#Time       v(in)      i(Vin)    
 1.368E-9  -1.3        0.038268  
 1.379E-9  -1.3        0.038257  
 1.39E-9   -1.3        0.038235  
 1.401E-9  -1.3        0.038223  
 1.412E-9  -1.3        0.038231  
 1.423E-9  -1.3        0.038244  
 1.434E-9  -1.3        0.038215  
 1.445E-9  -1.3        0.038166  
 1.456E-9  -1.3        0.038176  
 1.464E-9  -1.3        0.038202  
 1.472E-9  -1.3        0.038199  
 1.48E-9   -1.3        0.038176  
 1.493E-9  -1.3        0.038193  
 1.5E-9    -1.3        0.038206  
 1.507E-9  -1.3        0.038178  
 1.514E-9  -1.3        0.038164  
 1.521E-9  -1.3        0.038159  
 1.536E-9  -1.3        0.038104  
 1.544E-9  -1.3        0.038072  
 1.552E-9  -1.3        0.038046  
 1.566E-9  -1.3        0.03802   
 1.593E-9  -1.3        0.03796   
 1.609E-9  -1.3        0.037941  
 1.625E-9  -1.3        0.037973  
 1.641E-9  -1.3        0.037976  
 1.653E-9  -1.3        0.037962  
 1.684E-9  -1.3        0.037946  
 1.701E-9  -1.3        0.037928  
 1.718E-9  -1.3        0.037905  
 1.768E-9  -1.3        0.037902  
 1.794E-9  -1.3        0.03788   
 1.82E-9   -1.3        0.037869  
 1.846E-9  -1.3        0.037909  
 1.872E-9  -1.3        0.037894  
 1.89E-9   -1.3        0.037825  
 1.908E-9  -1.3        0.037825  
 1.921E-9  -1.3        0.037859  
 1.933E-9  -1.3        0.037842  
 1.945E-9  -1.3        0.037831  
 1.957E-9  -1.3        0.037799  
 1.969E-9  -1.3        0.037764  
 1.981E-9  -1.3        0.037754  
 1.993E-9  -1.3        0.037748  
 2.005E-9  -1.3        0.037715  
 2.017E-9  -1.3        0.037642  
 2.029E-9  -1.3        0.037587  
 2.041E-9  -1.3        0.03756   
 2.053E-9  -1.3        0.037543  
 2.065E-9  -1.3        0.037504  
 2.077E-9  -1.3        0.037445  
 2.097E-9  -1.3        0.037367  
 2.111E-9  -1.3        0.037327  
 2.152E-9  -1.3        0.037266  
 2.193E-9  -1.3        0.037291  
 2.228E-9  -1.3        0.037275  
 2.255E-9  -1.3        0.037259  
 2.282E-9  -1.3        0.03723   
 2.326E-9  -1.3        0.037185  
 2.37E-9   -1.3        0.037167  
 2.414E-9  -1.3        0.037006  
 2.442E-9  -1.3        0.036914  
 2.47E-9   -1.3        0.036861  
